,Constituency,Name,Party,Picture
163,NA-169 Bahawalnagar-IV,Mr. Noor Ul Hassan Tanvir,PML-N,Profile
164,NA-170 Bahawalpur-I,Mr. Muhammad Farooq Azam Malik,PTI,Profile
165,NA-171 Bahawalpur-II,Mian Riaz Hussain Pirzada,PML-N,Profile
166,NA-172 Bahawalpur-III,Chaudhary Tariq Bashir Cheema,PML,Profile
167,NA-173 Bahawalpur-IV,Mian Najeeb Ud Din Awaisi,PML-N,Profile
168,NA-174 Bahawalpur-V,Makhdoom Syed Sami Ul Hassan Gillani,PTI,Profile
169,NA-175 Rahim Yar Khan-I,Syed Mobeen Ahmed,PTI,Profile
170,NA-176 Rahim Yar Khan-II,Sheikh Fayyaz Ud Din,PML-N,Profile
171,NA-177 Rahim Yar Khan-III,Makhdoom Khusro Bukhtiar,PTI,Profile
172,NA-178 Rahim Yar Khan-IV,Syed Mustafa Mahmud,PPPP,Profile
173,NA-179 Rahim Yar Khan-V,Chaudhary Javed Iqbal Warraich,PTI,Profile
174,NA-180 Rahim Yar Khan-VI,Syed Murtaza Mahmud,PPPP,Profile
175,NA-181 Muzaffargarh-I,Mr. Muhammad Shabbir Ali,PTI,Profile
176,NA-182 Muzaffargarh-II,Mahar Irshad Ahmad Khan,PPPP,Profile
177,NA-183 Muzaffargarh-III,Mr. Raza Rabani Khar,PPPP,Profile
178,NA-184 Muzaffargarh-IV,Nawabzada Iftakhar Ahmed Khan Babar,PPPP,Profile
179,NA-185 Muzaffargarh-V,Mr. Makhdom Zada Sayed Basit Ahmad Sultan,PTI,Profile
180,NA-186 Muzaffargarh-VI,Mr. Aamir Talal Gopang,PTI,Profile
181,NA-187 Layyah-I,Mr. Abdul Majeed Khan,PTI,Profile
182,NA-188 Layyah-II,Mr. Niaz Ahmed Jakhar,PTI,Profile
183,NA-189 D.G.Khan-I,Mr. Khawja Sheraz Mehmood,PTI,Profile
184,NA-190 D.G.Khan-II,Mr. Muhammad Amjad Farooq Khan Khosa,PTI,Profile
185,NA-191 D.G.Khan-III,Ms. Zartaj Gul,PTI,Profile
186,NA-192 D.G.Khan-IV,Sardar Muhammad Khan Laghari,PTI,Profile
187,NA-193 Rajanpur-I,Sardar Muhammad Jaffar Khan Leghari,PTI,Profile
188,NA-194 Rajanpur-II,Sardar Nasrullah Khan Dreshak,PTI,Profile
189,NA-195 Rajanpur-III,Sardar Riaz Mehmood Khan Mazari,PTI,Profile
190,Sindh (56),Sindh (56),Sindh (56),Sindh (56)
191,NA-197 Kashmore,Mr. Ehsan Ur Rehman Mazari,PPPP,Profile
192,NA-198Shikarpur-I,Mr. Abid Hussain Bhayo,PPPP,Profile
193,NA-199Shikarpur-II,Mr. Ghous Bux Khan Mahar,GDA,Profile
194,NA-200Larkana-I,Mr. Bilawal Bhutto Zardari,PPPP,Profile
195,NA-201Larkana-II,Mr. Khursheed Ahmed Junejo,PPPP,Profile
196,NA-202Kamber Shahdadkot-I,Mr. Aftab Shahban Mirani,PPPP,Profile
197,NA-203Kamber Shahdadkot-II,Mir Amer Ali Khan Magsi,PPPP,Profile
198,NA-204Ghotki-I,Mr. Khalid Ahmed Khan Lund,PPPP,Profile
199,NA-205Ghotki-II,Sardar Muhammad Bux Khan Mahar,PPPP,Profile
200,NA-206Sukkur-I,Syed Khursheed Ahmed Shah,PPPP,Profile
201,NA-207Sukkur-II,Mr. Nauman Islam Shaikh,PPPP,Profile
202,NA-208Khairpur-I,Dr. Nafisa Shah,PPPP,Profile
203,NA-209Khairpur-II,Pir Syed Fazal Ali Shah Jillani,PPPP,Profile
204,NA-210Khairpur-III,Syed Javed Ali Shah Jillani,PPPP,Profile
205,NA-211Naushero Feroze-I,Syed Abrar Ali Shah,PPPP,Profile
206,NA-212Naushero Feroze-II,Mr. Zulfiqar Ali Behan,PPPP,Profile
207,NA-213Shaheed Benazirabad-I,Mr. Asif Ali Zardari,PPPP,Profile
208,NA-214Shaheed Benazirabad-II,Syed Ghulam Mustafa Shah,PPPP,Profile
209,NA-215Sanghar-I,Mr. Naveed Dero,PPPP,Profile
210,NA-216Sanghar-II,Ms. Shazia Marri,PPPP,Profile
211,NA-217Sanghar-III,Mr. Roshanuddin Junejo,PPPP,Profile
212,NA-218Mirpurkhas-I,Mr. Ali Nawaz Shah,Ind,Profile
213,NA-219Mirpurkhas-II,Mir Munawar Ali Talpur,PPPP,Profile
214,NA-220Umerkot,Nawab Muhammad Yousuf Talpur,PPPP,Profile
215,NA-221Tharparkar-I,Pir Ameer Ali shah Jeelani,PPPP,Profile
216,NA-222Tharparkar-II,Mr. Mahesh Kumar Malani,PPPP,Profile
217,NA-223Matiari,Makhdoom Jameel Uz Zaman,PPPP,Profile
218,NA-224Tando Allahyar,Mr. Zulfiqar Bachani,PPPP,Profile
219,NA-225Hyderabad-I,Syed Hussain Tariq,PPPP,Profile
